;artists;name;acousticness;danceability;energy;instrumentalness;liveness;loudness;mode;speechiness;tempo;valence;track_href
0;Kanye West;Intro;0.309;0.754;0.374;0.0;0.487;-13.631;1;0.899;80.295;0.374;https://api.spotify.com/v1/tracks/6EnfW37wjj3qcwQDv602CA
1;Kanye West;We Don't Care;0.0149;0.641;0.743;0.0;0.225;-5.784;0;0.175;83.14;0.612;https://api.spotify.com/v1/tracks/0Z1ozhbWc9XPczRSrFYqBb
2;Kanye West;Graduation Day;0.682;0.416;0.443;1.82e-06;0.418;-9.041;0;0.302;170.149;0.834;https://api.spotify.com/v1/tracks/6B8h0AJ9iFdXBiiJkPHv69
3;Kanye West;All Falls Down;0.184;0.643;0.717;0.0;0.152;-4.876;0;0.506;90.893;0.46;https://api.spotify.com/v1/tracks/2cYZpcIV39X48RnOFM7w2V
4;Kanye West;I'll Fly Away;0.721;0.235;0.273;0.0;0.15;-11.327;1;0.029;172.301;0.515;https://api.spotify.com/v1/tracks/5i8vH5IwyxW8ElGr1tXWXk
5;Kanye West;Spaceship;0.513;0.522;0.773;0.0;0.621;-5.327;0;0.22;178.073;0.652;https://api.spotify.com/v1/tracks/0RuJD7YfBO2gvj6smWkAgR
6;Kanye West;Jesus Walks;0.578;0.427;0.844;0.0;0.284;-4.597;0;0.427;85.346;0.716;https://api.spotify.com/v1/tracks/62r62ArmWq38cu6QCVgyTc
7;Kanye West;Never Let Me Down;0.394;0.472;0.811;0.0;0.178;-4.856;0;0.375;81.051;0.636;https://api.spotify.com/v1/tracks/0XMJORJKm4q3iorGAtcait
8;Kanye West;Get Em High;0.198;0.604;0.652;0.0;0.493;-5.665;0;0.373;93.181;0.635;https://api.spotify.com/v1/tracks/0eSuBkGm5URmCu6OymIv8x
9;Kanye West;Workout Plan;0.835;0.713;0.286;0.0;0.668;-13.598;0;0.935;113.628;0.747;https://api.spotify.com/v1/tracks/3nPy7iQUaAgZeCeAWpCMG5
10;Kanye West;The New Workout Plan;0.00925;0.702;0.774;0.0;0.379;-4.682;1;0.208;117.993;0.624;https://api.spotify.com/v1/tracks/0fDf7lTJ6A6uzGWUEJHcCq
11;Twista;Slow Jamz;0.369;0.569;0.744;0.0;0.256;-5.757;0;0.181;145.063;0.59;https://api.spotify.com/v1/tracks/32UioUCnMFsr2UN7SvDyXj
12;Kanye West;Breathe In Breathe Out;0.344;0.533;0.72;0.0;0.185;-3.401;0;0.466;82.645;0.921;https://api.spotify.com/v1/tracks/1RoMbgq42xO1DDseGTtuEE
13;Kanye West;School Spirit;0.287;0.507;0.803;0.0;0.267;-5.314;0;0.214;86.295;0.647;https://api.spotify.com/v1/tracks/1g1zk6gOFE63kDszT1luxY
14;Kanye West;Lil Jimmy Skit;0.782;0.604;0.271;0.0;0.498;-12.277;1;0.491;126.593;0.756;https://api.spotify.com/v1/tracks/62zjOdCRI90kHJCY2VYnSN
15;Kanye West;Two Words;0.0175;0.56;0.805;6.6e-06;0.235;-4.654;0;0.238;85.063;0.527;https://api.spotify.com/v1/tracks/6GI114RuBiRyc09NcXyU6y
16;Kanye West;Through The Wire;0.00834;0.548;0.75;2.81e-06;0.166;-6.229;1;0.284;82.811;0.617;https://api.spotify.com/v1/tracks/3KUpGMnZL76I9E7FoWV1re
17;Kanye West;Family Business;0.159;0.726;0.533;0.0;0.475;-7.49;1;0.216;93.702;0.548;https://api.spotify.com/v1/tracks/6wFxUq7Gr44N3uwLjVQRR0
18;Kanye West;Last Call;0.573;0.508;0.733;0.0;0.334;-6.859;1;0.372;83.255;0.864;https://api.spotify.com/v1/tracks/0yfeb8mdWhnvuXPjawDbdy
19;Kanye West;Wake Up Mr. West;0.811;0.685;0.29;0.0;0.0639;-9.689;1;0.948;82.598;0.634;https://api.spotify.com/v1/tracks/62KeM7jbmYvzT5FycdiQeS
20;Kanye West;Heard 'Em Say;0.055;0.736;0.702;0.0394;0.124;-8.437;0;0.181;94.857;0.569;https://api.spotify.com/v1/tracks/6yIjtVtnOBeC8SwdVHzAuF
21;Kanye West;Touch The Sky;0.0158;0.597;0.848;0.0;0.374;-4.835;1;0.355;106.302;0.545;https://api.spotify.com/v1/tracks/2dxjKgT0li4qBI3QwuN9Ih
